2014 top list			
Rank	Mark	Competitor	Nat
1	8518	Trey Hardee	USA
	( 10.50/-0.2 - 7.49/+2.2 - 15.15 - 1.97 - 48.63 / 13.69/0.0 - 49.09 - 5.06 - 58.20 - 4:44.75 )		
2	8471	Kai Kazmirek	GER
	( 10.76/0.0 - 7.45/+0.1 - 14.20 - 2.15 - 47.04 / 14.15/+1.7 - 43.59 - 4.96 - 56.31 - 4:33.78 )		
3	8337	Yordani Garc?a	CUB
	( 10.80/0.0 - 7.22/2.6 - 15.75 - 2.07 - 49.07 / 14.07/0.0 - 42.54 - 4.60 - 64.69 - 4:33.36 )		
4	8317	Rico Freimuth	GER
	( 10.52/-0.2 - 7.19/+0.6 - 14.54 - 1.94 - 48.42 / 13.95/0.0 - 49.41 - 4.86 - 59.87 - 4:45.56 )		
5	8204	Pelle Rietveld	NED
	( 10.93/-0.2 - 7.15/-0.4 - 13.92 - 1.91 - 48.47 / 14.14/0.0 - 39.89 - 5.06 - 68.38 - 4:31.83 )		
6	8199	Willem Coertzen	RSA
	( 10.99/1.0 - 7.47/-0.9 - 14.11 - 2.00 - 49.65 / 14.38/-0.2 - 44.50 - 4.50 - 69.40 - 4:34.21 )		
7	8184	Thomas van der Plaetsen	BEL
	( 11.04/+0.6 - 7.68/+0.7 - 13.65 - 2.03 - 49.16 / 14.76/+0.7 - 39.63 - 5.16 - 60.92 - 4:35.09 )		
8	8169	Garrett Scantling	USA
	( 11.02/2.9 - 7.02/0.0 - 14.05 - 2.07 - 49.84 / 14.43/2.2 - 46.09 - 4.95 - 66.69 - 4:48.02 )		
9	8168	Dominik Distelberger	AUT
	( 10.73/-0.2 - 7.57/0.0 - 13.02 - 2.00 - 48.53 / 14.34/+0.9 - 40.55 - 4.86 - 59.80 - 4:32.44 )		
10	8161	Eelco Sintnicolaas	NED
	( 10.94/-0.1 - 7.27/-0.3 - 13.98 - 1.86 - 48.81 / 14.31/+0.1 - 43.38 - 5.25 - 61.82 - 4:35.23 )		
11	8143	Keisuke Ushiro	JPN
	( 11.14/-0.5 - 7.25/1.5 - 15.35 - 2.02 - 49.84 / 14.95/0.0 - 48.09 - 4.80 - 64.26 - 4:45.53 )		
12	8141	Ashley Bryant	GBR
	( 11.09/-0.2 - 7.52/+0.7 - 13.77 - 1.94 - 49.10 / 14.38/+0.9 - 43.31 - 4.56 - 69.65 - 4:33.83 )		
13	8123	Maicel Uibo	EST
	( 11.18/2.9 - 7.36/2.1 - 14.43 - 2.16 - 51.48 / 15.03/2.2 - 46.56 - 4.95 - 58.56 - 4:38.45 )		
13	8123	Yevgeny Sarantsev	RUS
